question_id,paper_id,n_paragraphs,hit@1,hit@3,hit@5,hit@10
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,46,0.0,0.0,0.0,0.0
f5e6f43454332e0521a778db0b769481e23e7682,1912.01214,46,0.0,1.0,1.0,1.0
9a05a5f4351db75da371f7ac12eb0b03607c4b87,1912.01214,46,0.0,1.0,1.0,1.0
5eda469a8a77f028d0c5f1acd296111085614537,1912.01214,46,1.0,1.0,1.0,1.0
18c5d366b1da8447b5404eab71f4cc658ba12e6f,1810.08699,37,1.0,1.0,1.0,1.0
b5e4866f0685299f1d7af267bbcc4afe2aab806f,1810.08699,37,0.0,0.0,1.0,1.0
1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,1810.08699,37,0.0,1.0,1.0,1.0
b6ae8e10c6a0d34c834f18f66ab730b670fb528c,1609.00425,63,0.0,0.0,1.0,1.0
a87a009c242d57c51fc94fe312af5e02070f898b,1609.00425,63,0.0,0.0,0.0,0.0
2df4a045a9cd7b44874340b6fdf9308d3c55327a,1801.05147,92,0.0,0.0,0.0,0.0
a313e98994fc039a82aa2447c411dda92c65a470,1811.00383,22,1.0,1.0,1.0,1.0
37861be6aecd9242c4fdccdfcd06e48f3f1f8f81,1811.00383,22,0.0,0.0,0.0,1.0
7e62a53823aba08bc26b2812db016f5ce6159565,1811.00383,22,0.0,1.0,1.0,1.0
9eabb54c2408dac24f00f92cf1061258c7ea2e1a,1909.09067,43,0.0,0.0,0.0,1.0
3d013f15796ae7fed5272183a166c45f16e24e39,1909.09067,43,0.0,0.0,0.0,1.0
9ee07edc371e014df686ced4fb0c3a7b9ce3d5dc,1704.06194,54,0.0,0.0,0.0,0.0
d3aa0449708cc861a51551b128d73e11d62207d2,1704.06194,54,0.0,0.0,0.0,0.0
cfbec1ef032ac968560a7c76dec70faf1269b27c,1704.06194,54,0.0,1.0,1.0,1.0
c0e341c4d2253eb42c8840381b082aae274eddad,1704.06194,54,0.0,1.0,1.0,1.0
1ec152119cf756b16191b236c85522afeed11f59,1909.00512,44,0.0,0.0,0.0,0.0
891c2001d6baaaf0da4e65b647402acac621a7d2,1909.00512,44,0.0,0.0,0.0,0.0
66c96c297c2cffdf5013bab5e95b59101cb38655,2003.03106,70,0.0,1.0,1.0,1.0
6b53e1f46ae4ba9b75117fc6e593abded89366be,2003.03106,70,0.0,0.0,0.0,0.0
c0bee6539eb6956a7347daa9d2419b367bd02064,2003.03106,70,0.0,0.0,0.0,1.0
3de0487276bb5961586acc6e9f82934ef8cb668c,2003.03106,70,1.0,1.0,1.0,1.0
113d791df6fcfc9cecfb7b1bebaf32cc2e4402ab,1708.01464,54,0.0,0.0,0.0,1.0
0752d71a0a1f73b3482a888313622ce9e9870d6e,1708.01464,54,0.0,0.0,0.0,1.0
55c8f7acbfd4f5cde634aaecd775b3bb32e9ffa3,1708.01464,54,1.0,1.0,1.0,1.0
4eaf9787f51cd7cdc45eb85cf223d752328c6ee4,1708.01464,54,0.0,0.0,0.0,1.0
31735ec3d83c40b79d11df5c34154849aeb3fb47,2002.03407,43,0.0,1.0,1.0,1.0
10d450960907091f13e0be55f40bcb96f44dd074,2002.03407,43,0.0,1.0,1.0,1.0
b5608076d91450b0d295ad14c3e3a90d7e168d0e,2002.03407,43,0.0,0.0,1.0,1.0
c21b87c97d1afac85ece2450ee76d01c946de668,2002.03407,43,0.0,0.0,0.0,0.0
d087539e6a38c42f0a521ff2173ef42c0733878e,1909.11687,46,0.0,1.0,1.0,1.0
efe9bad55107a6be7704ed97ecce948a8ca7b1d2,1909.11687,46,0.0,0.0,0.0,1.0
7561a968470a8936d10e1ba722d2f38b5a9a4d38,1605.06083,30,1.0,1.0,1.0,1.0
6d4400f45bd97b812e946b8a682b018826e841f1,1605.06083,30,0.0,1.0,1.0,1.0
26c2e1eb12143d985e4fb50543cf0d1eb4395e67,1605.06083,30,1.0,1.0,1.0,1.0
f17ca24b135f9fe6bb25dc5084b13e1637ec7744,1804.05918,59,0.0,0.0,1.0,1.0
bd5bd1765362c2d972a762ca12675108754aa437,1804.05918,59,0.0,1.0,1.0,1.0
d9b6c61fc6d29ad399d27b931b6cb7b1117b314a,1809.04267,56,0.0,0.0,0.0,0.0
d27438b11bc70e706431dda0af2b1c0b0d209f96,1901.05287,29,0.0,0.0,1.0,1.0
8d4ac4afbf5b14f412171729ceb5e822afcfa3f4,1612.06685,18,0.0,0.0,0.0,1.0
3c93894c4baf49deacc6ed2a14ef5e0f13b7d96f,1612.06685,18,1.0,1.0,1.0,1.0
07d15501a599bae7eb4a9ead63e9df3d55b3dc35,1612.06685,18,0.0,0.0,0.0,1.0
99e78c390932594bd833be0f5c890af5c605d808,1912.04961,55,0.0,1.0,1.0,1.0
861187338c5ad445b9acddba8f2c7688785667b1,1912.04961,55,0.0,1.0,1.0,1.0
f161e6d5aecf8fae3a26374dcb3e4e1b40530c95,1912.04961,55,1.0,1.0,1.0,1.0
12c50dea84f9a8845795fa8b8c1679328bd66246,1910.10781,39,1.0,1.0,1.0,1.0
0810b43404686ddfe4ca84783477ae300fdd2ea4,1910.10781,39,0.0,0.0,0.0,1.0
455d4ef8611f62b1361be4f6387b222858bb5e56,1603.09631,50,0.0,1.0,1.0,1.0
bc16ce6e9c61ae13d46970ebe6c4728a47f8f425,1603.09631,50,0.0,0.0,0.0,1.0
1ff0fccf0dca95a6630380c84b0422bed854269a,1911.06964,29,0.0,0.0,0.0,0.0
3d7d865e905295d11f1e85af5fa89b210e3e9fdf,1911.06964,29,0.0,0.0,1.0,1.0
2ad4d3d222f5237ed97923640bc8e199409cbe52,1911.06964,29,0.0,1.0,1.0,1.0
3fad42be0fb2052bb404b989cc7d58b440cd23a0,1911.06964,29,0.0,1.0,1.0,1.0
ee417fea65f9b1029455797671da0840c8c1abbe,2001.02284,119,0.0,0.0,1.0,1.0
ca5a82b54cb707c9b947aa8445aac51ea218b23a,2001.02284,119,0.0,0.0,1.0,1.0
da55bd769721b878dd17f07f124a37a0a165db02,2001.02284,119,0.0,0.0,0.0,0.0
feb448860918ef5b905bb25d7b855ba389117c1f,2002.01664,19,1.0,1.0,1.0,1.0
4bc2784be43d599000cb71d31928908250d4cef3,2002.01664,19,1.0,1.0,1.0,1.0
75df70ce7aa714ec4c6456d0c51f82a16227f2cb,2002.01664,19,0.0,1.0,1.0,1.0
6424e442b34a576f904d9649d63acf1e4fdefdfc,1808.09111,61,0.0,0.0,0.0,1.0
5eabfc6cc8aa8a99e6e42514ef9584569cb75dec,1808.09111,61,0.0,1.0,1.0,1.0
887c6727e9f25ade61b4853a869fe712fe0b703d,1808.09111,61,0.0,0.0,1.0,1.0
6236762b5631d9e395f81e1ebccc4bf3ab9b24ac,1906.08593,45,0.0,1.0,1.0,1.0
31d695ba855d821d3e5cdb7bea638c7dbb7c87c7,1906.08593,45,0.0,0.0,0.0,1.0
2c78993524ca62bf1f525b60f2220a374d0e3535,1809.00540,42,1.0,1.0,1.0,1.0
d604f5fb114169f75f9a38fab18c1e866c5ac28b,1809.00540,42,0.0,0.0,1.0,1.0
16535db1d73a9373ffe9d6eedaa2369cefd91ac4,2004.03354,62,0.0,0.0,0.0,1.0
897ba53ef44f658c128125edd26abf605060fb13,1611.04798,44,0.0,0.0,0.0,1.0
41ac23e32bf208b69414f4b687c4f324c6132464,1611.04798,44,0.0,0.0,0.0,1.0
e97186c51d4af490dba6faaf833d269c8256426c,1912.13337,67,0.0,1.0,1.0,1.0
5bb3c27606c59d73fd6944ba7382096de4fa58d8,1912.13337,67,1.0,1.0,1.0,1.0
8de9f14c7c4f37ab103bc8a639d6d80ade1bc27b,1912.13337,67,0.0,0.0,0.0,1.0
85590bb26fed01a802241bc537d85ba5ef1c6dc2,1912.13337,67,0.0,0.0,0.0,0.0
75ff6e425ce304a35f18c0230c0d13d3913a31a9,1912.13337,67,0.0,1.0,1.0,1.0
5cb610d3d5d7d447b4cd5736d6a7d8262140af58,1809.01541,45,0.0,0.0,0.0,1.0
b9d168da5321a7d7b812c52bb102a05210fe45bd,1809.01541,45,0.0,0.0,0.0,0.0
0c234db3b380c27c4c70579a5d6948e1e3b24ff1,1809.01541,45,0.0,1.0,1.0,1.0
fa527becb8e2551f4fd2ae840dbd4a68971349e0,1809.01541,45,0.0,1.0,1.0,1.0
32a3c248b928d4066ce00bbb0053534ee62596e7,1809.01541,45,0.0,0.0,0.0,0.0
45e9533586199bde19313cd43b3d0ecadcaf7a33,1809.09194,27,1.0,1.0,1.0,1.0
d3dbb5c22ef204d85707d2d24284cc77fa816b6c,1809.09194,27,0.0,0.0,1.0,1.0
a5e49cdb91d9fd0ca625cc1ede236d3d4672403c,1809.09194,27,1.0,1.0,1.0,1.0
aefa333b2cf0a4000cd40566149816f5b36135e7,1604.05372,33,0.0,1.0,1.0,1.0
c5abe97625b9e1c8de8208e15d59c704a597b88c,2002.08795,25,0.0,1.0,1.0,1.0
